Searchtime: 50.73 ms	5175 positions evaluated:
Searchtime: 111.33 ms	7417 positions evaluated:
Searchtime: 85.45 ms	0 positions evaluated:
Searchtime: 100.88 ms	7417 positions evaluated:
Searchtime: 90.06 ms	7417 positions evaluated:
Searchtime: 90.93 ms	7417 positions evaluated:
Searchtime: 84.55 ms	0 positions evaluated:
Searchtime: 86.80 ms	8888 positions evaluated:
Searchtime: 88.03 ms	8888 positions evaluated:
Searchtime: 82.58 ms	8888 positions evaluated:
Searchtime: 91.64 ms	8888 positions evaluated:
Searchtime: 87.92 ms	8888 positions evaluated:
Searchtime: 87.84 ms	8888 positions evaluated:
Searchtime: 87.31 ms	7417 positions evaluated:
Searchtime: 541.15 ms	1742 positions evaluated:
Searchtime: 528.05 ms	1742 positions evaluated:
Searchtime: 11002.08 ms	81283 positions evaluated:
Searchtime: 526.89 ms	2639 positions evaluated:
Searchtime: 26890.40 ms	158231 positions evaluated:
Searchtime: 527.50 ms	2639 positions evaluated:
Searchtime: 134.94 ms	1152 positions evaluated:
